product_id,product_name,category,cost
1,Laptop 2,Electronics,190.4
2,Beverage 3,Food,475.6
3,Pants 4,Clothing,367.34
4,Headphone 5,Electronics,301.34
5,Headphone 6,Electronics,82.23
6,Novel 7,Books,82.22
7,Laptop 8,Electronics,33.75
8,Pants 9,Clothing,433.76
9,Carpet 10,Home,302.55
10,Headphone 11,Electronics,355.5
11,Shoes 12,Clothing,15.19
12,Textbook 13,Books,485.11
13,Dictionary 14,Books,417.06
14,Snack 15,Food,110.11
15,Jacket 16,Clothing,95.0
16,Fruit 17,Food,95.79
17,Pants 18,Clothing,155.6
18,Snack 19,Food,264.75
19,Camera 20,Electronics,218.81
20,Tablet 21,Electronics,149.16
21,Meat 22,Food,307.87
22,Snack 23,Food,74.05
23,Dictionary 24,Books,149.61
24,Camera 25,Electronics,186.35
25,Headphone 26,Electronics,230.75
26,Meat 27,Food,393.66
27,Meat 28,Food,103.84
28,Shirt 29,Clothing,259.55
29,Phone 30,Electronics,298.25
30,Snack 31,Food,27.99
31,Shirt 32,Clothing,305.73
32,Magazine 33,Books,89.41
33,Magazine 34,Books,37.2
34,Dress 35,Clothing,474.7
35,Beverage 36,Food,482.99
36,Snack 37,Food,405.16
37,Chair 38,Home,155.78
38,Chair 39,Home,53.35
39,Jacket 40,Clothing,343.7
40,Magazine 41,Books,222.88
41,Chair 42,Home,65.41
42,Snack 43,Food,250.11
43,Shirt 44,Clothing,22.02
44,Vegetable 45,Food,455.11
45,Snack 46,Food,133.1
46,Shoes 47,Clothing,332.95
47,Beverage 48,Food,159.3
48,Comic 49,Books,262.43
49,Textbook 50,Books,275.62
50,Beverage 51,Food,96.5
51,Shoes 52,Clothing,484.94
52,Table 53,Home,388.69
53,Curtain 54,Home,470.05
54,Curtain 55,Home,447.94
55,Beverage 56,Food,300.96
56,Shoes 57,Clothing,461.33
57,Novel 58,Books,48.8
58,Laptop 59,Electronics,102.01
59,Pants 60,Clothing,27.39
60,Dictionary 61,Books,166.04
61,Camera 62,Electronics,197.4
62,Dictionary 63,Books,139.32
63,Dictionary 64,Books,415.23
64,Meat 65,Food,181.59
65,Laptop 66,Electronics,144.06
66,Table 67,Home,273.63
67,Snack 68,Food,74.76
68,Vegetable 69,Food,402.09
69,Jacket 70,Clothing,41.9
70,Tablet 71,Electronics,493.51
71,Chair 72,Home,387.26
72,Lamp 73,Home,103.36
73,Meat 74,Food,7.73
74,Chair 75,Home,408.65
75,Dress 76,Clothing,354.89
76,Shoes 77,Clothing,365.86
77,Lamp 78,Home,386.78
78,Table 79,Home,41.65
79,Novel 80,Books,182.44
80,Tablet 81,Electronics,62.36
81,Beverage 82,Food,432.24
82,Phone 83,Electronics,313.53
83,Lamp 84,Home,168.79
84,Camera 85,Electronics,36.46
85,Headphone 86,Electronics,158.94
86,Pants 87,Clothing,165.97
87,Dictionary 88,Books,366.16
88,Dress 89,Clothing,320.59
89,Carpet 90,Home,444.17
90,Textbook 91,Books,238.75
91,Chair 92,Home,64.2
92,Vegetable 93,Food,358.06
93,Vegetable 94,Food,381.59
94,Curtain 95,Home,282.83
95,Phone 96,Electronics,386.63
96,Shirt 97,Clothing,249.43
97,Snack 98,Food,263.75
98,Carpet 99,Home,216.63
99,Shoes 100,Clothing,17.58
100,Shirt 1,Clothing,58.41
101,Laptop 2,Electronics,20.56
102,Shirt 3,Clothing,320.02
103,Tablet 4,Electronics,160.61
104,Headphone 5,Electronics,256.74
105,Dress 6,Clothing,454.25
106,Textbook 7,Books,128.4
107,Chair 8,Home,208.14
108,Carpet 9,Home,379.0
109,Textbook 10,Books,118.26
110,Comic 11,Books,43.11
111,Shirt 12,Clothing,148.43
112,Camera 13,Electronics,84.8
113,Vegetable 14,Food,465.2
114,Comic 15,Books,405.02
115,Laptop 16,Electronics,318.53
116,Camera 17,Electronics,436.37
117,Snack 18,Food,402.82
